,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
0,busselton,AU,-33.65,115.3333,1619221263,93,75,61.0,4.0
1,punta arenas,PH,8.9897,125.34,1619221771,99,72,83.19,1.54
2,rikitea,PF,-23.1203,-134.9692,1619221615,100,68,78.96,15.99
3,albany,US,42.6001,-73.9662,1619221771,20,33,55.4,18.41
4,kandi,BJ,11.1342,2.9386,1619221772,80,46,85.82,6.13
5,mariental,NA,-24.6333,17.9667,1619221772,0,26,66.76,8.55
6,inhambane,MZ,-23.865,35.3833,1619221616,75,88,67.28,4.74
7,coahuayana,MX,18.7333,-103.6833,1619221616,1,28,86.0,17.27
8,vaini,TO,-21.2,-175.2,1619221616,20,79,84.2,5.75
9,butaritari,KI,3.0707,172.7902,1619221617,82,77,82.13,8.84
10,povenets,RU,62.8487,34.8262,1619221617,100,97,34.79,2.46
11,carnarvon,AU,-24.8667,113.6333,1619221618,0,67,62.6,9.22
12,caravelas,BR,-17.7125,-39.2481,1619221289,26,85,74.3,4.88
13,bethel,US,41.3712,-73.414,1619221618,1,17,62.6,14.97
14,wanning,CN,18.8003,110.3967,1619221619,18,80,80.17,10.27
15,port elizabeth,CD,-7.0349,29.7638,1619221434,18,80,71.46,4.81
16,grand gaube,US,38.8755,-109.5012,1619221421,20,9,72.0,10.36
17,mahebourg,MU,-20.4081,57.7,1619221253,40,78,78.8,9.22
18,atuona,PF,-9.8,-139.0333,1619221349,28,79,80.33,22.35
19,suntar,RU,62.1444,117.6319,1619221427,100,82,34.27,9.53
20,dzerzhinsk,RU,56.2389,43.4631,1619221619,0,62,50.0,4.47
21,savannah bight,US,32.0835,-81.0998,1619221350,20,48,66.2,10.36
22,porto velho,PT,41.1496,-8.611,1619221361,75,88,60.8,9.22
23,jamestown,US,42.097,-79.2353,1619221519,1,43,51.8,12.66
24,daru,PG,-9.0763,143.2092,1619221620,27,68,84.87,6.46
25,mongagua,BR,-24.0931,-46.6208,1619221620,44,26,73.99,5.35
26,lashio,MM,22.9333,97.75,1619221621,2,49,71.42,0.58
27,ushuaia,AR,-54.8,-68.3,1619221592,75,93,41.0,5.75
28,riyadh,SA,24.6877,46.7219,1619221277,0,11,78.8,4.61
29,alice springs,US,27.7523,-98.0697,1619221303,1,66,89.6,21.85
30,yellowknife,CA,62.456,-114.3525,1619221313,75,57,17.01,10.36
31,chokurdakh,RU,70.6333,147.9167,1619221536,52,84,6.1,0.6
32,san patricio,ML,13.3034,-4.8956,1619221268,87,20,96.28,3.74
33,longyearbyen,SJ,78.2186,15.6401,1619221622,75,62,15.8,6.91
34,beloha,MG,-25.1667,45.05,1619221245,14,75,69.58,11.23
35,mar del plata,ES,43.4002,-4.0094,1619221397,0,63,60.8,2.3
36,derzhavinsk,KZ,51.1,66.3167,1619221623,100,49,41.52,12.24
37,salur,IN,18.5333,83.2167,1619221623,44,61,79.83,1.05
38,santa maria,PH,17.486,120.4348,1619221623,9,60,81.39,3.18
39,kitimat,CA,54.0524,-128.6534,1619221624,100,32,62.01,3.0
40,kavieng,PG,-2.5744,150.7967,1619221776,100,80,80.26,4.68
41,morden,CA,49.1919,-98.1014,1619221624,93,25,37.4,1.14
42,spornoye,RU,50.8448,37.2913,1619221625,75,93,41.0,22.37
43,aksu,CN,41.1231,80.2644,1619221595,0,46,48.4,7.43
44,arraial do cabo,BR,-22.8362,-46.646,1619221392,0,60,68.0,5.75
45,berlevag,NO,70.8578,29.0864,1619221777,75,79,33.33,12.97
46,bubaque,GW,11.2833,-15.8333,1619221379,3,71,77.85,17.29
47,lagoa,PT,39.05,-27.9833,1619221625,9,79,57.63,31.88
48,pisco,PE,-13.7,-76.2167,1619221626,0,82,66.2,11.5
49,cape town,CL,-36.413,-71.9028,1619221372,0,82,59.0,2.3
50,abu kamal,IN,24.6,72.7,1619221627,44,49,67.82,2.64
51,georgetown,MY,5.4112,100.3354,1619221492,40,89,78.8,3.44
52,hermanus,ZA,-34.4187,19.2345,1619221205,86,88,55.99,5.95
53,hobart,AU,-42.8794,147.3294,1619221172,40,71,55.0,12.66
54,hami,CN,42.8,93.45,1619221628,67,27,45.1,11.01
55,hithadhoo,MV,-0.6,73.0833,1619221369,22,73,82.11,7.83
56,cairns,AU,-16.9167,145.7667,1619221667,75,78,79.0,11.5
57,bluff,NZ,-46.6,168.3333,1619221259,88,85,53.01,1.99
58,hilo,US,19.7297,-155.09,1619221416,40,54,82.4,12.66
59,nuoro,IT,40.3211,9.3297,1619221629,0,88,55.4,5.75
60,san cristobal,ML,13.3034,-4.8956,1619221375,43,19,95.47,5.3
61,margate,GB,51.3813,1.3862,1619221265,32,80,45.0,1.01
62,wewak,PG,-3.5534,143.6268,1619221629,100,77,81.66,3.04
63,sobolevo,RU,54.4299,31.8996,1619221173,77,83,34.14,5.06
64,harrismith,ZA,-28.2728,29.1295,1619221630,22,94,41.94,1.36
65,paita,PE,-5.0892,-81.1144,1619221337,7,74,71.71,14.74
66,poum,NC,-20.2333,164.0167,1619221588,96,76,79.68,5.44
67,portland,US,45.5234,-122.6762,1619221044,75,36,63.0,5.75
68,torbay,CA,47.6666,-52.7314,1619221630,20,87,37.99,20.71
69,naze,JP,28.3667,129.4833,1619221631,75,88,68.0,20.71
70,port alfred,CD,-7.0349,29.7638,1619221631,18,80,71.46,4.81
